False Positives (Predicted but Wrong):
(2090, '味道', '不是很好', '气味', '中性')
(2953, '_', '还便宜', '价格', '正面')
(152, '_', '好', '整体', '正面')
(101, '速度', '很快', '物流', '正面')
(894, '_', '挺实惠的', '价格', '正面')
(1977, '_', '很好', '整体', '正面')
(782, '_', '超划算', '价格', '正面')
(2542, '_', '可以', '整体', '正面')
(1362, '_', '挺保湿的', '使用体验', '正面')
(3119, '物流', '很', '物流', '正面')
(2016, '_', '好用', '整体', '正面')
(1685, '_', '很便宜', '价格', '中性')
(1686, '补水效果', '妥妥的', '功效', '正面')
(2385, '_', '挺保湿的', '功效', '正面')
(2285, '_', '又卡', '使用体验', '负面')
(493, '_', '挺好用的', '整体', '正面')
(3211, '_', '不错', '整体', '中性')
(3061, '_', '干净', '功效', '正面')
(699, '_', '真正的', '整体', '正面')
(1631, '_', '不错', '整体', '正面')
(2274, '_', '挺实惠的', '价格', '正面')
(1584, '_', '不是很喜欢', '整体', '负面')
(2632, '_', '很温和', '使用体验', '正面')
(2262, '_', '很补水', '功效', '正面')
(1430, '_', '不错', '整体', '正面')
(2300, '_', '不错', '整体', '正面')
(164, '_', '挺好的', '整体', '正面')
(1304, '清洁', '不是很够', '功效', '中性')
(2776, '_', '缺水', '使用体验', '负面')
(2127, '速度', '非常快', '物流', '正面')
(2377, '_', '是弯的', '使用体验', '中性')
(1103, '_', '不怎么挫泥', '使用体验', '负面')
(2603, '_', '不是很好', '整体', '中性')
(2864, '_', '自然', '使用体验', '正面')
(1898, '_', '油腻腻的', '使用体验', '正面')
(1956, '物流', '很快 点赞', '物流', '正面')
(1829, '_', '水润', '使用体验', '正面')
(2503, '_', '很好', '整体', '正面')
(3165, '补水效果', '特别好', '功效', '中性')
(351, '香味', '淡淡', '气味', '中性')
(1251, '_', '是正品', '真伪', '正面')
(1827, '_', '很喜欢的', '整体', '正面')
(2457, '_', '不觉得油腻', '使用体验', '正面')
(844, '_', '特别的', '整体', '正面')
(3194, '_', '丝薄服帖', '使用体验', '正面')
(2297, '_', '实惠', '价格', '中性')
(2116, '快递', '很给力', '物流', '正面')
(2941, '_', '没错', '整体', '正面')
(1207, '_', '容易', '使用体验', '正面')
(2436, '价格', '很实惠', '价格', '正面')
(583, '_', '不错', '整体', '正面')
(1986, '_', '不错的', '整体', '正面')
(2257, '_', '还行吧', '整体', '正面')
(3033, '_', '很划算', '价格', '正面')
(170, '_', '还可以', '整体', '中性')
(2467, '_', '非常好', '整体', '中性')
(2376, '_', '挺容易推开', '使用体验', '正面')
(1800, '活动', '超级合适', '价格', '中性')
(1580, '_', '便宜', '价格', '正面')
(2735, '活动', '挺便宜的', '价格', '正面')
(938, '_', '很显白的', '功效', '正面')
(483, '_', '很好用', '整体', '正面')
(2164, '_', '很好', '整体', '正面')
(1031, '补水效果', '合适', '功效', '中性')
(1000, '_', '好', '整体', '正面')
(1600, '_', '不好', '整体', '正面')
(2073, '_', '挺麻烦的', '整体', '中性')
(2212, '_', '特别特别好用', '整体', '正面')
(2107, '快递', '辛苦', '物流', '正面')
(325, '送货', '很快', '物流', '正面')
(1354, '_', '便宜', '价格', '正面')
(2832, '_', '有点黑', '使用体验', '负面')
(3099, '赠品', '物美价廉', '价格', '正面')
(2940, '_', '还', '整体', '正面')
(2180, '_', '好用', '整体', '正面')
(567, '_', '又便宜', '价格', '正面')
(2498, '_', '不错', '整体', '正面')
(775, '_', '又好', '整体', '正面')
(1943, '_', '不不饿', '使用体验', '正面')
(2565, '_', '优惠', '价格', '中性')
(590, '_', '遮瑕', '功效', '正面')
(1148, '_', '容易油', '使用体验', '正面')
